,amp1mean,amp1std,amp1skew,amp1kurt,amp1dmean,amp1dstd,amp1dskew,amp1dkurt,amp10mean,amp10std,amp10skew,amp10kurt,amp10dmean,amp10dstd,amp10dskew,amp10dkurt,amp100mean,amp100std,amp100skew,amp100kurt,amp100dmean,amp100dstd,amp100dskew,amp100dkurt,amp1000mean,amp1000std,amp1000skew,amp1000kurt,amp1000dmean,amp1000dstd,amp1000dskew,amp1000dkurt,power1,power2,power3,power4,power5,power6,power7,power8,power9,power10
LanaDelRey\12 This Is What Makes Us Girls.mp3,-2.556365,7867.897290796931,0.027434356657127117,4.2642366521525155,0.030848384747307913,3399.9847351491217,-0.050606198710346634,7.434294407251182,-2.556365,6598.149386903838,0.09639063130360209,5.071923358000169,-0.024175402923383753,5690.864603885165,-0.06184734991155322,5.259635979253965,-2.5563650000000004,2580.368733868237,-0.06659484159087296,6.824425032269847,-0.37343557259543597,4798.233194781658,0.008862588998217085,7.246701129235202,-2.556365,192.82937235084748,0.04308198274780616,5.342377467993046,-0.5523372287145236,309.9059075980322,0.1553158053417214,5.915748708287457,0.3410318748931433,0.187684679082889,0.13174374847182954,0.08881961108474105,0.06360128521715745,0.049797312440943244,0.04233818518434996,0.03565821548136095,0.03172644891150869,0.02759863923207667
LanaDelRey\09 Carmen.mp3,3.996391666666667,7847.579810276031,-0.06577934087490445,3.772842511603081,0.0013116688527814212,2971.557470192965,-0.0007790907475312414,5.484967543875174,3.9963916666666672,6659.333835166583,-0.03709956951661134,4.214469642603252,0.03599393323222238,5450.554353352336,-0.040644899272463605,4.953983631662293,3.996391666666665,3677.093956616619,0.28037647789571746,4.0355736093017684,-1.0642690448407925,6485.710181621173,-0.24617449212928835,4.092481698153743,3.9963916666666637,296.7833485210633,0.8212766538985607,4.842155317090883,-0.6806310517529212,530.7063739067186,-0.11634836547783817,4.513675551543465,0.35570109485635254,0.21360237973621599,0.14180090584485175,0.08743424058505261,0.05370947335377246,0.036722073970668456,0.037064831815602495,0.030109386370359367,0.025029008527233745,0.018826604939890867
Garrett\16 Little Wing.mp3,-0.6966616666666666,5414.13315679905,-0.02110594953283821,3.1492019841010372,0.00675001125001875,4843.672117558166,-0.010972298350441442,3.6868650345088634,-0.6966616666666641,3789.4772575142897,-0.041503202911917704,3.198381763916136,0.03622727045450381,4266.224203561449,-0.038008480597267864,3.6366823651966786,-0.6966616666666681,628.8175400492092,0.061921839476286045,6.198898079204376,0.0058693115519217265,1043.0421621191701,-0.03302638265586377,6.763498979998834,-0.6966616666666662,70.75767339309472,-0.13810689532819728,3.0889066698539,-0.08515859766277134,121.54136377774775,-0.008388969151758855,3.2911202373301096,0.23058781447566784,0.12171100162603721,0.07552239763747474,0.0774553373645307,0.1029908882151327,0.10363501343887538,0.09146325472052148,0.09587146916967158,0.05558804164638703,0.0451747817057011
Garrett\10 Air.mp3,-0.8126283333333333,6383.224456339982,-0.006518968498587228,3.975587752082457,-0.015070025116708527,2876.96855949853,-0.02045181896924256,5.209286732009645,-0.8126283333333422,5345.010668947664,-0.0033769623554806083,4.809987451339179,0.03977899631660388,5123.251781490713,0.011730583183953931,3.7757683221830947,-0.8126283333333335,1742.3103803968766,-0.20388794421285952,15.929853840028189,-0.04372395399233085,3176.3624959817607,-0.23486037842306817,16.859490642640118,-0.8126283333333343,273.96354718156124,-0.38173344191546577,5.125305499066199,0.07028547579298457,481.08639333616816,-0.665996096395614,5.033375493306241,0.3535880977193966,0.19288602774670607,0.09207874903018494,0.07368208031817071,0.0689263279864122,0.053792884673080216,0.05987301194382644,0.056020200211284794,0.030036189375113945,0.019116430995824055
Garrett\04 He's a Pirate (Pirates of the Car 1.mp3,0.45620166666666667,8082.832644946225,-0.00038364763599386454,3.7722305848267177,0.01037001728336214,4901.441041040849,0.01324071726224533,7.939644005044345,0.4562016666666672,6137.929417278806,-0.001208857014438348,3.6782614233926685,-0.0033267221120409063,7057.353881767547,-0.05750902473720459,4.446168539456744,0.45620166666666956,1677.9703470948534,0.01930397844536832,4.26598690979954,-0.06663610601766264,2950.8358325989,0.039648253493230146,4.215649950357477,0.4562016666666659,148.22535283759993,-0.01040981448542029,3.3677065202861987,-0.019429048414024663,259.70174594403835,0.11734946512055308,3.202982242653503,0.3256853529059401,0.17426292748729447,0.09461772683506263,0.07074401559906816,0.07368353541169667,0.06278856040390463,0.061485470894848585,0.07079328047347971,0.04054243191726501,0.025396698071440172
Garrett\11 Thunderstruck.mp3,2.3870733333333334,7596.6265296505735,-0.0038172712447468843,3.783915836971483,-0.01704502840838068,4426.359907742612,-0.0035034557531780242,4.259397714888705,2.38707333333334,6144.477357888944,0.015175319574904969,4.580002142092378,0.0972616210270167,5196.3573116596945,-0.02354216269680598,4.45062886672484,2.3870733333333303,1933.7009482778012,0.008269033291813358,6.1745628058694235,0.06911485247541081,3433.582579694533,-0.11803379829248727,6.788273920343664,2.387073333333333,181.80014568912742,-0.015787978910819667,4.871712490934876,0.07678297161937006,301.9447900757402,0.04516163742524294,5.20549216845615,0.32309240179426874,0.15911237852309112,0.0957499969616076,0.07100530724946932,0.06947405094559948,0.07409952600776731,0.06735004416771645,0.05549040808725754,0.049276124368860225,0.035349761894362286
Garrett\12 New Day.mp3,0.8505816666666667,5029.793034603494,0.021842492823706056,3.49426450438369,-0.0026900044833408055,3006.3070251848826,-0.0005115198048258738,4.028261050457561,0.8505816666666679,3656.904607150743,0.0715876444359328,3.937770002823767,-0.06662777712961596,4329.199591759956,0.0055598887015570414,3.620890713257815,0.8505816666666672,901.3576447871908,0.09829364411453581,10.393923634677074,0.3388248041340216,1579.8593711870762,-0.29444681738384415,11.532222769001873,0.8505816666666663,86.06709813612476,-0.01921983152695396,5.3720353445326845,0.35764106844741056,149.02361727206576,0.01478546244187318,5.670542158699741,0.29136731139810945,0.19621718635914998,0.11121341707034245,0.06884982276172126,0.0716219091067851,0.062381723488232975,0.07429419635855875,0.06256779960110784,0.03800162651031507,0.0234850073456776
Garrett\01 Smooth Criminal 1.mp3,0.7811966666666667,6886.991985402755,-0.016345361573304337,4.49817449574123,0.025481709136181894,4276.707455220676,-0.024292404125055286,6.676776174728042,0.7811966666666615,5572.574145689803,-0.022881954759219225,5.454160558088786,0.2459607660127684,5543.842321238946,0.003797249588351292,4.398146005461361,0.7811966666666706,1567.31308573785,0.11260917971567383,15.70261256797208,-1.1001166861143459,2819.127052191325,-0.30867121750689325,16.43057937416705,0.7811966666666663,147.64427096728582,0.056986372710157836,7.0375744619926515,0.15521535893155206,254.67794456108376,-0.28371076530212913,7.236723920936674,0.3379708347992578,0.1323494700515306,0.08687746164968366,0.07515285721533495,0.07888022512215938,0.06647010602139374,0.07173803124531128,0.0669915293971333,0.0506687111514555,0.03290077334673997
Garrett\05 Summertime 1.mp3,-0.22576833333333332,5503.536081704227,0.04472638774450754,3.821862056304852,-0.0012350020583367638,2823.4036301947526,-0.07536932288768328,4.441738684833909,-0.22576833333332944,4219.673260703151,0.014055949133846302,4.17677004947361,-0.027495458257635743,5231.181645805344,-0.018438799410247935,4.8912550989110555,-0.22576833333333243,1045.023734200206,0.011114403223318891,6.714332814867735,0.007642940490083219,1742.6386271327574,-0.14700679049351306,8.383193654504058,-0.22576833333333307,113.20503160062276,0.0554307905115113,3.9231995380620996,-0.03892487479131986,206.373902189499,-0.03962114524655268,4.016854726512882,0.3256611452428596,0.18525156174776392,0.12196353023554767,0.07138089262912081,0.06343774669486707,0.04932167161389493,0.047697175382391946,0.0609823901774045,0.037999428143563475,0.03630445813258623
Garrett\02 Who Wants to Live Forever_ 1.mp3,-0.43065,6065.244905952046,-0.013985587241364419,4.13384295035775,0.010301683836139728,3505.301824116863,-0.03466205330355151,5.545798115709975,-0.4306500000000021,4626.088060222724,-0.0050041019572945435,4.370892023197406,0.0263471057850958,5480.067837200118,0.025623732065760883,4.103943857599637,-0.43064999999999704,1125.825241593107,0.044459325703420954,9.764773848175057,-0.1137439573262223,1996.2108764365432,-0.04372327711124018,12.72141701602938,-0.4306499999999998,108.08557424846683,0.26603473535088007,4.544003582227835,-0.003282136894824674,182.9541133188666,-0.3464363167574267,4.492696622877426,0.3121091326201507,0.17657244702196812,0.08795848495625766,0.08653971683134466,0.06732499024789222,0.05518735037072643,0.05569698448882713,0.07289839425378165,0.04765685067392168,0.03805564853512988
Garrett\09 O Mio Babbino Caro 1.mp3,0.00449,4402.09622020841,0.016611365382956624,5.428434491256577,0.009445015741692903,3001.8081799375036,-0.0335316448560426,8.966992819324881,0.004489999999998925,3165.165291084049,0.03828939961734843,5.232090370710605,-0.051219186986452524,4303.4941658588,-0.024322525725131314,5.023327980719198,0.004489999999998332,691.9959815148061,0.03769538365137089,6.921161222010393,0.04402067011168864,1265.1684474799868,-0.04368853082703999,7.270201579196481,0.004489999999999921,62.25646675724994,-0.15754266997486516,7.2618844779017,-0.14791986644407354,104.57542740551115,0.1434201587204372,7.5056539382332925,0.27892035214461913,0.1597583736937553,0.10809823738327372,0.06429924257446652,0.09609658499391828,0.06099200816031445,0.08016734125757463,0.07605415718118101,0.038346950675345576,0.03726675193555132
Garrett\03 Clair de Lune 1.mp3,-0.23719,3022.9409541913924,0.04343420860830133,4.40167041882325,-0.012300020500034167,1921.6559788825045,0.014712585654656024,7.865831703984516,-0.23719000000000007,2180.307000959017,0.028504311298459633,4.537771167772543,-0.08649977499624995,2960.194157033263,-0.010933563443095193,4.081885738744025,-0.23719000000000023,277.5543485970581,0.026829024807686848,3.5733733771686333,-0.06807634605767533,473.92362865290096,-0.023405281180808216,3.4558285395020296,-0.23718999999999993,36.16843990692115,-0.12848775812313454,4.2514796004052675,-0.04188313856427323,62.27051030052812,-0.17645370110051115,4.146993166170168,0.2600236763374655,0.1907142985372072,0.11032116012239948,0.05313845213200873,0.09368816262514808,0.07061809280394483,0.09465138381137084,0.06100220187252828,0.04797784111461076,0.017864730643316184
Garrett\14 Rock Prelude.mp3,1.735485,6736.314156675256,0.05336991219986972,4.409233780539741,0.001215002025003375,4240.823366363529,0.02870163026293121,5.93685987329818,1.7354850000000002,5570.504364196685,0.09109474508515214,5.032799925846363,0.03291888198136262,5509.791671336786,-0.05685213995552196,4.650257849003394,1.7354850000000037,1861.4009664392563,-0.16708151346268932,13.833599400857443,-0.0027071178529720482,3389.551497567318,-0.03147033702997129,13.971952186780927,1.7354849999999984,173.35067979607052,0.371726863919117,9.172016080395581,-0.29293322203672867,294.89815014334835,0.0604335271576373,7.708930192049222,0.35431650111815954,0.11971583266535131,0.07238371086067787,0.07455691678921292,0.07093248626381432,0.06939578662189225,0.05704420386845824,0.09082584276683266,0.04890241881746927,0.04192630022813141
RageAgainstTheMachine\09 Township Rebellion.mp3,-0.6125816666666667,5116.937102922546,0.03849892140354535,5.411796230055303,0.003508339180565301,2609.414111317462,0.002627917629598447,6.772860752092377,-0.612581666666669,4450.806511055182,0.03949172613180627,6.890856453469138,-0.024993749895827002,3242.294404633355,0.015619542241011114,6.26126518138305,-0.6125816666666706,1913.6518484160815,0.048245087480679065,10.405336824173382,-0.3239473245541011,3597.644814545801,-0.04139598351600478,11.24924590589709,-0.6125816666666666,162.09149257613737,-0.04760284673011824,4.843572744893297,-0.4125726210350566,281.74576669285835,0.05286771166162844,4.828517187308844,0.34584272264848576,0.1547979074330615,0.09134425380642992,0.06255810636439259,0.07521846343006658,0.0738856018805399,0.06544449862226438,0.055611726146708874,0.03944468994629183,0.03585202972175901
RageAgainstTheMachine\07 Wake Up.mp3,-1.2338116666666668,5647.4087238075035,0.0038527700041489,4.4078524151859195,-0.010011683352805587,3337.854995340278,-0.17202156143295302,7.01289128756451,-1.2338116666666668,4539.426322839808,0.04307201754161433,5.128610783004657,-0.08851147519124788,4122.115170306356,-0.023166688220489548,5.420925023905292,-1.23381166666667,1632.1546439525844,0.13298345042646764,8.391739975889566,0.03002333722287338,3056.334949887831,-0.04247281221549579,9.126778734790733,-1.2338116666666663,146.00103473076095,-0.010954031918376357,4.265280866668741,0.130330550918201,257.5603469655009,0.1484170120039622,4.1820868910572955,0.3237152393658772,0.14021001063110444,0.1101877757354308,0.09177704904367269,0.08358225546208765,0.07200536477902217,0.05744370242499143,0.04523755955312768,0.03981471563032009,0.03602632737436606
RageAgainstTheMachine\08 Fistful of Steel.mp3,0.49301666666666666,4694.99625505934,-0.07446102278963575,7.597973628678637,-0.002946671577785963,2436.6269657765843,-0.04117654052897252,9.6760635933977,0.493016666666664,4080.2986423160537,-0.10858548427202781,9.350060458105647,-0.008463474391240539,3171.53110485002,-0.04712129971174439,12.774280036052103,0.4930166666666646,1713.912625884013,0.09615109339088994,14.380273407780864,-0.13128521420236114,3270.2045072260917,-0.07583444242779958,14.894225906931133,0.49301666666666694,145.10026055039685,-0.024514543908251467,8.484464460911736,-0.17395993322203718,254.95035738867432,-0.21735587468849987,8.12366256279271,0.35570713333244114,0.11732950932010389,0.10900773144857676,0.07945501807688925,0.07770923600246812,0.07088086666645016,0.057032160215347565,0.05200323816215724,0.043663765342901235,0.0372113414326648
RageAgainstTheMachine\03 Take the Power Back.mp3,-0.350315,6327.887187337838,0.019874994758751107,5.206130398270592,0.008875014791691319,4317.1078170756955,-0.04588950487693279,5.643072558055648,-0.3503150000000026,5024.664017389246,0.09002193021154371,7.510699597001624,0.02686211436857076,4465.472376185896,0.1632964544066702,5.9970149373099435,-0.3503149999999958,1915.5995436886988,0.10319056221292297,11.902735512374447,0.008991498583094937,3593.2863473755942,-0.04506187584547913,12.447241483603023,-0.35031499999999993,163.18594742016168,-0.13782031538090925,6.046567283676007,0.011550918196997335,285.5828816247199,-0.20377180733838196,5.887328519451389,0.3018397907999338,0.12997070456963356,0.09613354245579307,0.0872985828835215,0.1007652237858782,0.08127746574124174,0.06422063448219832,0.05677448376127423,0.04518420195505319,0.03653536956547232
RageAgainstTheMachine\04 Settle for Nothing.mp3,0.402045,5612.626686936176,-0.05817835163448126,4.893714069959366,-0.013193355322258871,3848.069908524182,0.006232656170928289,5.519264656459568,0.40204499999999765,4276.556247495834,-0.1873638569466272,6.115572981005734,-0.03757395956598993,3597.2607204331744,-0.042113400549402255,6.432734723065478,0.4020450000000008,1760.2989264076336,-0.01589759458060876,6.022376198169046,0.3293948991498658,3392.483363124487,0.050566198975125244,5.883030969616688,0.40204500000000043,152.82603903699234,-0.006376529919883496,4.146655805001416,0.32121035058430875,266.4195933366738,-0.34509642000203006,4.049152752297116,0.26912104473443,0.15956531763002085,0.1127918250144805,0.09102228591686085,0.09152594643128122,0.078326621699564,0.05597878299560176,0.05598789552182813,0.05048260004074592,0.0351976800151867
RageAgainstTheMachine\01 Bombtrack.mp3,-1.6190833333333334,6676.285187812345,0.024289290171761686,4.0244290747697296,0.006400010666684445,3931.4201897033204,0.07604982527870678,5.373592855912637,-1.6190833333333376,5042.439360605622,-0.013547508230081893,4.985695587127594,0.13421223687061667,4583.105828475812,0.08439513673892861,4.617300526897721,-1.6190833333333345,1740.8580905932931,0.04635409206113724,8.184967179161896,0.46306051008501375,3256.9415348355615,-0.015454425077740362,8.373047653987639,-1.619083333333333,158.65232487432928,0.028328103079718975,4.874218227805974,0.0656393989983284,271.86863517804477,0.021443102974868004,4.7191908579572175,0.29287762248397814,0.17271232213375212,0.16114605404264032,0.07753568202934448,0.06860731748912775,0.059569741546003564,0.052415968588165954,0.042792045803718856,0.0373737208392278,0.034969525044041064
